PJ,LATITUDE,LONGITUDE
PROMOTORIA DE JUSTIÇA DE FRANCA,-20.518286817743675,-47.38187012755757
PROMOTORIA DE JUSTIÇA DE GUAÍRA,-20.322642965020286,-48.312156912453695
PROMOTORIA DE JUSTIÇA DE GUARÁ,-20.429333054090776,-47.826441368411515
PROMOTORIA DE JUSTIÇA DE IGARAPAVA,-20.038284243987306,-47.748987536179094
PROMOTORIA DE JUSTIÇA DE IPUÃ,-20.436784579289647,-48.01107362215502
PROMOTORIA DE JUSTIÇA DE ITUVERAVA,-20.337938441018228,-47.79295219772415
PROMOTORIA DE JUSTIÇA DE MIGUELÓPOLIS,-20.18003125068099,-48.035099054941
PROMOTORIA DE JUSTIÇA DE MORRO AGUDO,-20.727540981433837,-48.04526696316497
PROMOTORIA DE JUSTIÇA DE NUPORANGA,-20.734402111827194,-47.7518516531283
PROMOTORIA DE JUSTIÇA DE ORLÂNDIA,-20.719369781104188,-47.885818440869976
PROMOTORIA DE JUSTIÇA DE PATROCÍNIO PAULISTA,-20.64385577777086,-47.280207295109385
PROMOTORIA DE JUSTIÇA DE PEDREGULHO,-20.25745398927317,-47.47503894308731
PROMOTORIA DE JUSTIÇA DE SÃO JOAQUIM DA BARRA,-20.57134477539688,-47.86399031307795
PROMOTORIA DE JUSTIÇA DE ARUJÁ,-23.39282956894688,-46.32653796690456
PROMOTORIA DE JUSTIÇA DE BARUERI,-23.495896258885185,-46.8688556166744
PROMOTORIA DE JUSTIÇA DE CAIEIRAS,-23.3633123824008,-46.74321982751256
PROMOTORIA DE JUSTIÇA DE CARAPICUÍBA,-23.51922885231063,-46.84282383575504
PROMOTORIA DE JUSTIÇA DE COTIA,-23.60540255634029,-46.912860184534445
PROMOTORIA DE JUSTIÇA DE DIADEMA,-23.691290411957162,-46.61790440474558
PROMOTORIA DE JUSTIÇA DE EMBU DAS ARTES,-23.65505008984323,-46.85408784145601
PROMOTORIA DE JUSTIÇA DE EMBU-GUAÇU,-23.827805010683857,-46.814178727408155
PROMOTORIA DE JUSTIÇA DE FERRAZ DE VASCONCELOS,-23.54225838623681,-46.37329955810218
PROMOTORIA DE JUSTIÇA DE FRANCISCO MORATO,-23.28176097002421,-46.745979332846574
PROMOTORIA DE JUSTIÇA DE FRANCO DA ROCHA,-23.333767009207868,-46.725604415190176
PROMOTORIA DE JUSTIÇA DE GUARAREMA,-23.415473822164763,-46.03646859438681
PROMOTORIA DE JUSTIÇA DE GUARULHOS,-23.469344469642134,-46.53030097355376
PROMOTORIA DE JUSTIÇA DE ITAPECERICA DA SERRA,-23.72054655519477,-46.84569962592278
PROMOTORIA DE JUSTIÇA DE ITAPEVI,-23.55140555734111,-46.946780202683726
PROMOTORIA DE JUSTIÇA DE ITAQUAQUECETUBA,-23.483848400722323,-46.35733702231759
PROMOTORIA DE JUSTIÇA DE JANDIRA,-23.526360051370993,-46.9022276030001
PROMOTORIA DE JUSTIÇA DE MAIRIPORÃ,-23.320484605518814,-46.594075745041934
PROMOTORIA DE JUSTIÇA DE MAUÁ,-23.66728842651478,-46.464655078232624
PROMOTORIA DE JUSTIÇA DE MOGI DAS CRUZES,-23.51980480931098,-46.18176087795617
PROMOTORIA DE JUSTIÇA DE OSASCO,-23.534988264084625,-46.79153523090555
PROMOTORIA DE JUSTIÇA DE POÁ,-23.521408370674344,-46.34340140447944
PROMOTORIA DE JUSTIÇA DE RIBEIRÃO PIRES,-23.708138413935853,-46.41825628475537
PROMOTORIA DE JUSTIÇA DE RIO GRANDE DA SERRA,-23.748730420679795,-46.39991645103116
PROMOTORIA DE JUSTIÇA DE SANTA ISABEL,-23.322677843741374,-46.23090757392333
PROMOTORIA DE JUSTIÇA DE SANTANA DE PARNAÍBA,-23.447593764967934,-46.92127814654023
PROMOTORIA DE JUSTIÇA DE SANTO ANDRÉ,-23.658122443685503,-46.532494179776265
PROMOTORIA DE JUSTIÇA DE SÃO BERNARDO DO CAMPO,-23.676985565950016,-46.55850709301233
PROMOTORIA DE JUSTIÇA DE SÃO CAETANO DO SUL,-23.639493190112805,-46.57418776424304
PROMOTORIA DE JUSTIÇA DE SUZANO - CÍVEL,-23.54707870542685,-46.310500143233675
PROMOTORIA DE JUSTIÇA DE TABOÃO DA SERRA,-23.620445547718944,-46.78379240275392
PROMOTORIA DE JUSTIÇA DE VARGEM GRANDE PAULISTA,-23.611736399064984,-46.99476422078872
PROMOTORIA DE JUSTIÇA DE AMERICANA,-22.75448253716081,-47.35024403703013
PROMOTORIA DE JUSTIÇA DE ARARAS,-22.372665291360523,-47.370376144991525
PROMOTORIA DE JUSTIÇA DE BROTAS,-22.279943730906417,-48.12564610130161
PROMOTORIA DE JUSTIÇA DE CAPIVARI,-22.99962673580536,-47.50850217377353
PROMOTORIA DE JUSTIÇA DE CERQUILHO,-23.180443104018963,-47.73752270783634
PROMOTORIA DE JUSTIÇA DE CONCHAS,-23.01944063332957,-48.00057616673303
PROMOTORIA DE JUSTIÇA DE CORDEIRÓPOLIS,-22.48235619708895,-47.457276605210275
PROMOTORIA DE JUSTIÇA DE ITIRAPINA,-22.257851841136933,-47.81923408388594
PROMOTORIA DE JUSTIÇA DE LARANJAL PAULISTA,-23.0433164524101,-47.83717727973198
PROMOTORIA DE JUSTIÇA DE LEME,-22.187514885050646,-47.38161894974406
PROMOTORIA DE JUSTIÇA DE LEME,-22.181453327183778,-47.39150222630819
PROMOTORIA DE JUSTIÇA DE PIRACICABA - CÍVEL,-22.716980699957826,-47.6357737889991
PROMOTORIA DE JUSTIÇA DE RIO CLARO - CÍVEL,-22.412884629175963,-47.56230908551897
PROMOTORIA DE JUSTIÇA DE RIO DAS PEDRAS,-22.842924786592,-47.60661085587177
PROMOTORIA DE JUSTIÇA DE SANTA BÁRBARA D'OESTE,-22.75544672077643,-47.426354774221615
PROMOTORIA DE JUSTIÇA DE SÃO PEDRO,-22.550854804588813,-47.916232736001284
PROMOTORIA DE JUSTIÇA DE ADAMANTINA,-21.68811290830874,-51.071002531883316
PROMOTORIA DE JUSTIÇA DE ASSIS,-22.663988284247846,-50.41983609943175
PROMOTORIA DE JUSTIÇA DE BASTOS,-21.923762458624648,-50.73125228379733
PROMOTORIA DE JUSTIÇA DE CÂNDIDO MOTA,-22.744449131252086,-50.39147953304203
PROMOTORIA DE JUSTIÇA DE DRACENA,-21.48872967968279,-51.52541005626779
PROMOTORIA DE JUSTIÇA DE FLÓRIDA PAULISTA,-21.613224536705374,-51.173041479066974
PROMOTORIA DE JUSTIÇA DE IEPÊ,-22.661471634859293,-51.07660437292592
PROMOTORIA DE JUSTIÇA DE JUNQUEIRÓPOLIS,-21.514645304868537,-51.43873283104008
PROMOTORIA DE JUSTIÇA DE LUCÉLIA,-21.719343818864967,-51.020092264600876
PROMOTORIA DE JUSTIÇA DE MARACAÍ,-22.610266443465033,-50.66788543426881
PROMOTORIA DE JUSTIÇA DE MARTINÓPOLIS,-22.147071489489573,-51.16976219785589
PROMOTORIA DE JUSTIÇA DE MIRANTE DO PARANAPANEMA,-23.556425125638544,-46.90791077051993
PROMOTORIA DE JUSTIÇA DE OSVALDO CRUZ,-21.791103073367612,-50.88871391275028
PROMOTORIA DE JUSTIÇA DE PACAEMBU,-21.558486953413084,-51.26839028240192
PROMOTORIA DE JUSTIÇA DE PANORAMA,-21.367511614479273,-51.86166390166315
PROMOTORIA DE JUSTIÇA DE PARAGUAÇU PAULISTA,-22.421227891974635,-50.58039165297998
PROMOTORIA DE JUSTIÇA DE PIRAPOZINHO,-22.270227938637838,-51.494814435281874
PROMOTORIA DE JUSTIÇA DE PRESIDENTE BERNARDES,-22.007008447293856,-51.552110350137745
PROMOTORIA DE JUSTIÇA DE PRESIDENTE EPITÁCIO,-21.76267794389378,-52.104295600208694
PROMOTORIA DE JUSTIÇA DE PRESIDENTE PRUDENTE - CÍVEL,-22.123778644676552,-51.38368193375276
PROMOTORIA DE JUSTIÇA DE PRESIDENTE VENCESLAU,-21.880555387390547,-51.85314066429522
PROMOTORIA DE JUSTIÇA DE QUATÁ,-22.245042715669257,-50.70008393186939
PROMOTORIA DE JUSTIÇA DE RANCHARIA,-22.227899375394536,-50.89308140213815
PROMOTORIA DE JUSTIÇA DE REGENTE FEIJÓ,-22.2141131549355,-51.30215226570017
PROMOTORIA DE JUSTIÇA DE ROSANA,-22.526507495247884,-52.95029536561006
PROMOTORIA DE JUSTIÇA DE SANTO ANASTÁCIO,-21.97292896293683,-51.6516588770875
PROMOTORIA DE JUSTIÇA DE TEODORO SAMPAIO,-22.541005325774854,-52.16893558551019
PROMOTORIA DE JUSTIÇA DE TUPÃ - CÍVEL,-21.932483918265227,-50.5282982824174
PROMOTORIA DE JUSTIÇA DE TUPI PAULISTA,-21.38946387754324,-51.571929709059496
PROMOTORIA DE JUSTIÇA DE AMÉRICO BRASILIENSE,-21.72752447331318,-48.10464334569434
PROMOTORIA DE JUSTIÇA DE ARARAQUARA - CÍVEL,-21.79535424652457,-48.187577327250594
PROMOTORIA DE JUSTIÇA DE BEBEDOURO - Cível e Criminal,-20.937500783354213,-48.49774542209038
PROMOTORIA DE JUSTIÇA DE BEBEDOURO - Juizados Especiais e outras,-20.948549285595487,-48.47733367635828
PROMOTORIA DE JUSTIÇA DE BRODOWSKI,-20.987922082645547,-47.65257240008883
PROMOTORIA DE JUSTIÇA DE CACONDE,-21.528401433401996,-46.6434385552929
PROMOTORIA DE JUSTIÇA DE CAJURU,-21.27609054139886,-47.30260615529634
